,STABBR,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,labels
0,AL,3,1,0.8989,823.0,4051.0,13415.0,18259.0,0.2914,0.8204,0.7115,0
1,AL,3,1,0.8673,1146.0,11200.0,14805.0,18259.0,0.5377,0.5397,0.3505,0
2,AL,3,2,0.7167,1048.0,322.0,8792.0,7455.0,0.6667,0.7629,0.6839,1
3,AL,3,1,0.8062,1180.0,5525.0,17520.0,18259.0,0.4835,0.4728,0.3281,0
4,AL,3,1,0.5125,830.0,5354.0,11936.0,18259.0,0.2517,0.8735,0.8265,0
5,AL,3,1,0.5655,1171.0,28692.0,20916.0,18259.0,0.6665,0.4148,0.2107,0
6,AL,2,1,0.7167,1048.0,1779.0,6407.0,18259.0,0.46545000000000003,0.4777,0.6515,0
7,AL,3,1,0.7167,1048.0,2999.0,8792.0,18259.0,0.46545000000000003,0.6277,0.4107,0
8,AL,3,1,0.8371,970.0,4322.0,11915.0,18259.0,0.2705,0.6476,0.4006,0
9,AL,3,1,0.8274,1215.0,19761.0,17541.0,18259.0,0.6792,0.361,0.1687,0
10,AL,3,2,0.6422,1177.0,1181.0,8792.0,22994.0,0.6192,0.4939,0.2136,1
11,AL,2,1,0.7167,1048.0,1769.0,1873.0,18259.0,0.46545000000000003,0.1948,0.6116,3
12,AL,3,2,0.7167,1048.0,523.0,8792.0,12686.0,0.2115,0.91,0.8363,1
13,AL,2,3,0.4829,1048.0,599.0,8792.0,23152.0,0.0784,0.7543,0.7131,2
14,AL,2,1,0.7167,1048.0,1984.0,5048.0,18259.0,0.46545000000000003,0.2673,0.5121,3
15,AL,2,1,0.7167,1048.0,4182.0,7404.0,18259.0,0.46545000000000003,0.4042,0.4885,0
16,AL,3,2,0.7167,1048.0,2358.0,8792.0,17660.0,0.2287,0.7427,0.5816,1
17,AL,2,1,0.7167,1048.0,5480.0,4565.0,18259.0,0.46545000000000003,0.0,0.6,3
18,AL,1,3,0.7167,1048.0,89.0,8792.0,9476.0,0.46545000000000003,0.4422,0.4898,4
19,AL,2,1,0.7167,1048.0,4293.0,2681.0,18259.0,0.46545000000000003,0.0,0.5548,3
20,AL,2,1,0.7167,1048.0,4904.0,6628.0,18259.0,0.46545000000000003,0.4174,0.5017,0
21,AL,2,1,0.7167,1048.0,1604.0,8712.0,18259.0,0.46545000000000003,0.0,0.7687,3
22,AL,1,3,0.749,1048.0,318.0,8792.0,22518.0,0.1778,0.7153,0.6373,2
23,AL,3,2,0.6279,999.0,1100.0,8792.0,17864.0,0.4319,0.7227,0.4302,1
24,AL,3,2,0.7167,1048.0,67.0,8792.0,9346.0,0.0,0.4839,0.4839,1
25,AL,1,1,0.7167,1048.0,1040.0,7163.0,18259.0,0.46545000000000003,0.0,0.5873,3
26,AL,3,1,0.8326,1036.0,7195.0,16078.0,18259.0,0.3083,0.6811,0.4613,0
27,AL,2,1,0.7167,1048.0,1037.0,3796.0,18259.0,0.46545000000000003,0.0,0.5283,3
28,AL,2,1,0.7167,1048.0,7494.0,8799.0,18259.0,0.46545000000000003,0.2323,0.3579,3
29,AL,2,1,0.7167,1048.0,9970.0,5278.0,18259.0,0.46545000000000003,0.2773,0.4032,3
30,AL,3,2,0.7388,1023.0,331.0,8792.0,17243.0,0.4051,0.711,0.4788,1
31,AL,1,1,0.7167,1048.0,2894.0,7406.0,18259.0,0.46545000000000003,0.0,0.6821,3
32,AL,3,1,0.9957,950.0,1988.0,13221.0,18259.0,0.3161,0.7193,0.5604,0
33,AL,1,1,0.7167,1048.0,1372.0,8041.0,18259.0,0.46545000000000003,0.0,0.5753,3
34,AL,2,1,0.6034,1040.0,411.0,11013.0,18259.0,0.46545000000000003,0.6257,0.4424,0
35,AL,3,2,0.7167,1048.0,1663.0,8792.0,15217.0,0.216,0.9184,0.8227,1
36,AL,3,2,0.7125,1058.0,1472.0,8792.0,17970.0,0.4904,0.8009,0.5032,1
37,AL,3,1,0.8729,1070.0,2610.0,15003.0,18259.0,0.4493,0.5872,0.4136,0
