,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,cluster,States
0,0.75,0.0,0.8989,0.18087557603686635,0.02428424131977748,0.491927755252488,0.20775658097774527,0.2914,0.8204,0.7115,3,AL
1,0.75,0.0,0.8673,0.5529953917050692,0.06713984270093996,0.543162550681902,0.20775658097774527,0.5377,0.5397,0.3505,3,AL
2,0.75,0.5,0.7167,0.4400921658986175,0.0019302704776520238,0.3215259859933653,0.08426394778652828,0.6667,0.7629,0.6839,2,AL
3,0.75,0.0,0.8062,0.5921658986175116,0.033120324189526186,0.6432362698120162,0.20775658097774527,0.4835,0.4728,0.3281,3,AL
4,0.75,0.0,0.5125,0.1889400921658986,0.03209524266257433,0.4374124585329893,0.20775658097774527,0.2517,0.8735,0.8265,3,AL
5,0.75,0.0,0.5655,0.5817972350230415,0.17199788989065798,0.7684113527460376,0.20775658097774527,0.6665,0.4148,0.2107,3,AL
6,0.5,0.0,0.7167,0.4400921658986175,0.010664444657586803,0.23361592333210468,0.20775658097774527,0.46545000000000003,0.4777,0.6515,3,AL
7,0.75,0.0,0.7167,0.4400921658986175,0.01797789180893919,0.3215259859933653,0.20775658097774527,0.46545000000000003,0.6277,0.4107,3,AL
8,0.75,0.0,0.8371,0.35023041474654376,0.025908785727987722,0.4366384076667895,0.20775658097774527,0.2705,0.6476,0.4006,3,AL
9,0.75,0.0,0.8274,0.6324884792626728,0.11845985996547094,0.644010320678216,0.20775658097774527,0.6792,0.361,0.1687,3,AL
10,0.75,0.5,0.6422,0.5887096774193549,0.0070796566276616155,0.3215259859933653,0.2618789077234332,0.6192,0.4939,0.2136,2,AL
11,0.5,0.0,0.7167,0.4400921658986175,0.010604498369460962,0.06649465536306672,0.20775658097774527,0.46545000000000003,0.1948,0.6116,0,AL
12,0.75,0.5,0.7167,0.4400921658986175,0.003135190868981393,0.3215259859933653,0.14405568827368637,0.2115,0.91,0.8363,2,AL
13,0.5,1.0,0.4829,0.4400921658986175,0.0035907826587377708,0.3215259859933653,0.2636848903265628,0.0784,0.7543,0.7131,1,AL
14,0.5,0.0,0.7167,0.4400921658986175,0.011893343564166508,0.18352377441946185,0.20775658097774527,0.46545000000000003,0.2673,0.5121,0,AL
15,0.5,0.0,0.7167,0.4400921658986175,0.025069537694225975,0.2703649096940656,0.20775658097774527,0.46545000000000003,0.4042,0.4885,3,AL
16,0.75,0.5,0.7167,0.4400921658986175,0.014135334740072895,0.3215259859933653,0.20090984946334883,0.2287,0.7427,0.5816,2,AL
17,0.5,0.0,0.7167,0.4400921658986175,0.032850565892959906,0.16572060449686693,0.20775658097774527,0.46545000000000003,0.0,0.6,0,AL
18,0.25,1.0,0.7167,0.4400921658986175,0.0005335219643199693,0.3215259859933653,0.10736452272909118,0.46545000000000003,0.4422,0.4898,4,AL
19,0.5,0.0,0.7167,0.4400921658986175,0.02573494149242279,0.09627718392922964,0.20775658097774527,0.46545000000000003,0.0,0.5548,0,AL
20,0.5,0.0,0.7167,0.4400921658986175,0.029397659696911566,0.24176188720973094,0.20775658097774527,0.46545000000000003,0.4174,0.5017,3,AL
21,0.5,0.0,0.7167,0.4400921658986175,0.009615384615384616,0.3185772207887947,0.20775658097774527,0.46545000000000003,0.0,0.7687,0,AL
22,0.25,1.0,0.749,0.4400921658986175,0.0019062919624016881,0.3215259859933653,0.25643809937476425,0.1778,0.7153,0.6373,1,AL
23,0.75,0.5,0.6279,0.3836405529953917,0.006594091693842318,0.3215259859933653,0.20324162446992125,0.4319,0.7227,0.4302,2,AL
24,0.75,0.5,0.7167,0.4400921658986175,0.000401640130443123,0.3215259859933653,0.10587858767588328,0.0,0.4839,0.4839,2,AL
25,0.25,0.0,0.7167,0.4400921658986175,0.006234413965087282,0.2614817545152967,0.20775658097774527,0.46545000000000003,0.0,0.5873,0,AL
26,0.75,0.0,0.8326,0.42626728110599077,0.04313135430654134,0.5900847769996314,0.20775658097774527,0.3083,0.6811,0.4613,3,AL
27,0.5,0.0,0.7167,0.4400921658986175,0.00621643007864953,0.13737559896793217,0.20775658097774527,0.46545000000000003,0.0,0.5283,0,AL
28,0.5,0.0,0.7167,0.4400921658986175,0.044923748321503934,0.3217840029487652,0.20775658097774527,0.46545000000000003,0.2323,0.3579,0,AL
29,0.5,0.0,0.7167,0.4400921658986175,0.059766449261461733,0.1920014743826023,0.20775658097774527,0.46545000000000003,0.2773,0.4032,0,AL
30,0.75,0.5,0.7388,0.4112903225806452,0.0019842221369652793,0.3215259859933653,0.19614342702344348,0.4051,0.711,0.4788,2,AL
31,0.25,0.0,0.7167,0.4400921658986175,0.017348455783617878,0.27043862882417985,0.20775658097774527,0.46545000000000003,0.0,0.6821,0,AL
32,0.75,0.0,0.9957,0.3271889400921659,0.011917322079416842,0.48477699963140436,0.20775658097774527,0.3161,0.7193,0.5604,3,AL
33,0.25,0.0,0.7167,0.4400921658986175,0.008224630730865145,0.2938444526354589,0.20775658097774527,0.46545000000000003,0.0,0.5753,0,AL
34,0.5,0.0,0.6034,0.4308755760368664,0.002463792441971993,0.4033910799852562,0.20775658097774527,0.46545000000000003,0.6257,0.4424,3,AL
35,0.75,0.5,0.7167,0.4400921658986175,0.009969067715327067,0.3215259859933653,0.1729857007326803,0.216,0.9184,0.8227,2,AL
36,0.75,0.5,0.7125,0.45161290322580644,0.008824093612123537,0.3215259859933653,0.20445323305176769,0.4904,0.8009,0.5032,2,AL
37,0.75,0.0,0.8729,0.46543778801843316,0.015645981200844043,0.5504607445632141,0.20775658097774527,0.4493,0.5872,0.4136,3,AL
38,0.5,0.0,0.7167,0.4400921658986175,0.019392624208708995,0.16988573534832288,0.20775658097774527,0.46545000000000003,0.2559,0.5233,0,AL
39,0.75,0.0,0.8092,0.41705069124423966,0.03318626510646461,0.42045705860670846,0.20775658097774527,0.3216,0.6883,0.4192,3,AL
40,0.5,0.0,0.7167,0.4400921658986175,0.014243238058699405,0.0912274235164025,0.20775658097774527,0.46545000000000003,0.0,0.628,0,AL
